domain,left,right,left_total,right_total,left_share,right_share
azc.cc,2.0,1.0,334894,260132,5.972038913805562e-6,3.84420217428075e-6
azcentral.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
azfamily.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
azpm.org,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
azquotes.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
b.autovist.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
Backpage.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
backyardbuddy.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
baltimoresun.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bamoninloveforeverandalways.tumblr.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
bangordailynews.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
barackobama.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
barenakedislam.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
bascompalmer.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
basketofdeplorables.games,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
batiraporu.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bayrefuge.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bayresistance.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bbc.co.uk,200.0,17.0,334894,260132,5.972038913805562e-4,6.535143696277275e-5
bbc.com,52.0,93.0,334894,260132,1.552730117589446e-4,3.5751080220810974e-4
bbc.in,51.0,3.0,334894,260132,1.5228699230204184e-4,1.1532606522842249e-5
bcblue.wordpress.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
bccrss.wordpress.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
beforeitsnews.com,0.0,28.0,334894,260132,0.0,1.07637660879861e-4
belfasttelegraph.co.uk,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
berkeleyside.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bet.us,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
beta.theglobeandmail.com,5.0,0.0,334894,260132,1.4930097284513906e-5,0.0
bethechangemom.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
beverly.wickedlocal.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
biblegateway.com,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
bibliotecapleyades.net,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
Bigbronies.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
BIGBRONIES.COM,0.0,18.0,334894,260132,0.0,6.91956391370535e-5
biglyupset.com,5.0,2.0,334894,260132,1.4930097284513906e-5,7.6884043485615e-6
bigstory.ap.org,18.0,9.0,334894,260132,5.374835022425006e-5,3.459781956852675e-5
bild.de,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bilingualreview.utsa.edu,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
billboard.com,6.0,0.0,334894,260132,1.7916116741416687e-5,0.0
billionbibles.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
billmoyers.com,12.0,0.0,334894,260132,3.5832233482833374e-5,0.0
billoreilly.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bioedge.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
biography.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
biologicaldiversity.org,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
bipartisanreport.com,53.0,1.0,334894,260132,1.582590312158474e-4,3.84420217428075e-6
birminghammail.co.uk,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bit.ly,2190.0,2285.0,334894,260132,0.006539382610617091,0.008784001968231514
Bit.ly,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
bitchute.com,0.0,25.0,334894,260132,0.0,9.610505435701874e-5
bitcoinbuzz.vega9.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
bitsy.in,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
bitterqueen.typepad.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bizjournals.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bizpacreview.com,1.0,8.0,334894,260132,2.986019456902781e-6,3.0753617394246e-5
blabber.buzz,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
blackagendareport.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
blackamericaweb.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blackboardmag.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blackbutterfly7.files.wordpress.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
blackcentralstation.org,5.0,0.0,334894,260132,1.4930097284513906e-5,0.0
blackconservative360.blogspot.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
BlackHatConservative.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
blacklegacy.co,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
blacklistednews.com,1.0,5.0,334894,260132,2.986019456902781e-6,1.922101087140375e-5
blacklivesmatter.com,18.0,0.0,334894,260132,5.374835022425006e-5,0.0
blacklivesmatternyc.com,4.0,0.0,334894,260132,1.1944077827611124e-5,0.0
blacklivesmattersyllabus.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blacklivesmattervermont.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
blackmattersus.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blackmediamine.blogspot.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
blackourstory.tumblr.com,4.0,0.0,334894,260132,1.1944077827611124e-5,0.0
blackpilled.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
blackreparationsnow.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
blackyouthproject.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
blavity.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
BlazingPress.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bleedingheartland.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bleepingcomputer.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
blick.ch,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
blog.dictionary.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blog.dilbert.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
blog.historians.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blog.humanesociety.org,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
blog.johntrudel.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
blog.loyola.edu,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blog.oceanconservancy.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
blogdogcicle.blogspot.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
bloggingmothersmagazine.com,0.0,4.0,334894,260132,0.0,1.5376808697123e-5
blogmommag.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
blogometry.com,4.0,0.0,334894,260132,1.1944077827611124e-5,0.0
blogs.post-gazette.com,29.0,0.0,334894,260132,8.659456425018066e-5,0.0
blogs.reuters.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
blogs.scientificamerican.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
blogtalkradio.com,4.0,1.0,334894,260132,1.1944077827611124e-5,3.84420217428075e-6
blogto.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bloom.bg,4.0,1.0,334894,260132,1.1944077827611124e-5,3.84420217428075e-6
bloomberg.com,43.0,28.0,334894,260132,1.2839883664681959e-4,1.07637660879861e-4
blubrry.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
bluedotdaily.com,20.0,0.0,334894,260132,5.9720389138055625e-5,0.0
bluelivesmatter.blue,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
bnc.lt,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bo.de,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
boards.4chan.org,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
bodyandsolecomfort.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
boingboing.net,35.0,1.0,334894,260132,1.0451068099159734e-4,3.84420217428075e-6
booker.senate.gov,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bookgasm.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
bookriot.com,5.0,0.0,334894,260132,1.4930097284513906e-5,0.0
books.google.com.sg,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
boom.pizza,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
BoomerShooter.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
boredpanda.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
borgenproject.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
